GraphID,Algorithm,Vertices,Edges,TotalCost,OperationsCount,ExecutionTimeMs
1,Prim,5,7,16,16,1,225
1,Kruskal,5,7,16,67,2,888
2,Prim,4,5,6,11,0,046
2,Kruskal,4,5,6,49,0,047
3,Prim,10,15,467,37,0,071
3,Kruskal,10,15,467,166,0,079
4,Prim,15,25,595,56,0,066
4,Kruskal,15,25,595,301,0,144
5,Prim,30,55,2175,122,0,121
5,Kruskal,30,55,2175,716,0,193
6,Prim,90,92,42424,272,0,130
6,Kruskal,90,92,42424,1448,0,963
7,Prim,98,94,-1,280,0,000
7,Kruskal,98,94,-1,1484,0,000
8,Prim,100,102,51954,302,0,140
8,Kruskal,100,102,51954,1608,0,241
9,Prim,95,95,-1,283,0,000
9,Kruskal,95,95,-1,1500,0,000
10,Prim,100,102,53573,302,0,176
10,Kruskal,100,102,53573,1610,0,225
11,Prim,100,102,53740,302,0,134
11,Kruskal,100,102,53740,1610,0,177
12,Prim,100,102,53962,302,0,128
12,Kruskal,100,102,53962,1614,0,174
13,Prim,100,102,54129,302,0,123
13,Kruskal,100,102,54129,1618,0,168
14,Prim,100,102,54092,302,0,124
14,Kruskal,100,102,54092,1620,0,169
15,Prim,100,102,54129,302,0,117
15,Kruskal,100,102,54129,1620,0,186
17,Prim,300,302,203856,900,0,368
17,Kruskal,300,302,203856,5532,0,578
18,Prim,300,302,205165,901,0,318
18,Kruskal,300,302,205165,5528,0,530
19,Prim,300,302,149786,902,0,271
19,Kruskal,300,302,149786,5548,0,761
20,Prim,300,302,149466,902,0,283
20,Kruskal,300,302,149466,5530,0,777
21,Prim,300,302,149397,902,0,241
21,Kruskal,300,302,149397,5534,0,707
23,Prim,202,202,-1,603,0,000
23,Kruskal,202,202,-1,3710,0,000
24,Prim,203,202,-1,603,0,000
24,Kruskal,203,202,-1,3421,0,000
25,Prim,200,202,19900,600,0,150
25,Kruskal,200,202,19900,3412,0,248
